HIPE obsid,Comment,ObsMode,Notes
1342188155,MESS SNRCrop99PSW 029,Small Map,Star or SNR
1342206689,MESS SNRCrop99PSW 030,Small Map,Star or SNR
1342246573,MESS SNRCrop99PSW 031,Small Map,Star or SNR
1342189423,MESS SNRCrop99PSW 032,Small Map,Star or SNR
1342188178,MESS SNRCrop99PSW 033,Small Map,Star or SNR
1342245566,MESS SNRCrop99PSW 034,Small Map,Star or SNR
1342246608,MESS SNRCrop99PSW 035,Small Map,Star or SNR
1342188590,MESS SNRCrop99PSW 036,Small Map,Star or SNR
1342239781,MESS SNRCrop99PSW 037,Small Map,Star or SNR
1342188160,MESS SNRCrop99PSW 038,Small Map,Star or SNR
1342189519,MESS SNRCrop99PSW 039,Small Map,Star or SNR
1342188161,MESS SNRCrop99PSW 040,Small Map,Star or SNR
1342193007,MESS SNRCrop99PSW 041,Small Map,Star or SNR
1342185534,MESS SNRCrop99PSW 042,Small Map,Star or SNR
1342188662,MESS SNRCrop99PSW 043,Small Map,Star or SNR
1342254051,MESS SNRCrop99PSW 044,Small Map,Star or SNR
1342221902,MESS SNRCrop99PSW 045,Small Map,Star or SNR
1342186293,MESS SNRCrop99PSW 046,Small Map,Star or SNR
1342207040,MESS SNRCrop99PSW 047,Small Map,Star or SNR
1342246623,MESS SNRCrop99PSW 048,Small Map,Star or SNR
1342188578,MESS SNRCrop99PSW 049,Small Map,Star or SNR
1342231352,MESS SNRCrop99PSW 050,Small Map,Star or SNR
1342188168,MESS SNRCrop99PSW 051,Small Map,Star or SNR
1342191180,MESS SNRCrop99PSW 052,Small Map,Star or SNR
1342192099,MESS SNRCrop99PSW 053,Small Map,Star or SNR
1342183682,MESS SNRCrop99PSW 054,Small Map,Star or SNR
1342191183,MESS SNRCrop99PSW 055,Small Map,Star or SNR
1342189431,MESS SNRCrop99PSW 056,Small Map,Star or SNR
1342191181,MESS SNRCrop99PSW 057,Small Map,Star or SNR
1342192058,MESS SNRCrop99PSW 058,Small Map,Star or SNR
1342189432,MESS SNRCrop99PSW 059,Small Map,Star or SNR
1342188182,MESS SNRCrop99PSW 060,Small Map,Star or SNR
1342183681,MESS SNRCrop99PSW 061,Small Map,Star or SNR
